Ensembl_Gene_ID	FPKM_(+)4SUTP_512cell_rep1	FPKM_(+)4SUTP_256cell_rep1	FPKM_(+)4SUTP_128cell_rep1	FPKM_(+)4SUTP_512cell_rep2	FPKM_(+)4SUTP_256cell_rep2	FPKM_(+)4SUTP_128cell_rep2	FPKM_(-)4SUTP_128cell	FPKM_(-)4SUTP_256cell	FPKM_(-)4SUTP_512cell
ENSDARG00000000001	1.11648	1.18216	0.964857	0.540776	0.942845	0.654724	1.91981	0.83309	0.68471
ENSDARG00000000002	0.262319	0.423498	0.249893	0.165186	0.21301	0.211905	0.242423	0.331151	0.259999
ENSDARG00000000018	3.29841	3.40238	3.50089	0.896285	1.14886	1.05706	2.34353	1.05653	0.842956
ENSDARG00000000019	6.71719	7.12583	5.33461	2.76538	3.32785	3.21803	5.0912	2.38702	1.58361
ENSDARG00000000068	2.0678	2.59031	2.14724	0.160982	0.606255	0.857659	1.02919	0.401398	0.323608
ENSDARG00000000086	4.75202	6.36964	5.86815	2.55936	2.51559	3.0363	8.00985	5.5639	5.09612
ENSDARG00000000103	13.4769	14.074	9.83547	4.84702	5.32717	5.79363	8.16134	4.48934	2.90764
ENSDARG00000000151	1.39512	1.11148	1.6563	0.68887	1.07317	1.4209	2.40658	0.802146	0.690425
ENSDARG00000000183	3.97258	4.9404	4.32977	1.33376	1.99026	1.99039	1.85204	2.47424	1.12362
ENSDARG00000000189	0.974505	2.00737	1.43211	0.690288	0.790199	0.804533	3.36349	1.88783	0.99543
ENSDARG00000000324	3.00407	2.87665	3.14198	1.93595	2.12646	2.56486	3.94394	1.51502	0.755441
ENSDARG00000000370	0.104366	0.17049	0.18929	0.0570408	0.0413051	0.104845	0.0436366	0.0505118	0
ENSDARG00000000384	1.47881	1.6568	2.73433	0.886047	1.35677	0.796266	2.76572	1.6599	0.603457
ENSDARG00000000394	10.7497	11.0383	11.3156	6.02491	5.52394	6.95635	5.15743	3.1204	1.23064
ENSDARG00000000442	8.28208	7.37324	4.01916	4.99602	4.60771	4.60613	16.0675	6.99697	4.96111
ENSDARG00000000476	0.395044	0.875986	0.354462	0.291309	0.481947	0.445881	1.28562	0.666126	0.315948
ENSDARG00000000489	15.965	14.5274	13.0877	4.29832	3.06024	4.29931	8.73402	3.78962	1.63588
ENSDARG00000000529	2.88479	3.89634	2.05544	1.17012	1.78728	1.57195	4.48729	2.81663	0.607445
ENSDARG00000000540	1.82317	1.45362	1.71132	0.526076	1.18333	0.872029	1.70646	0.604186	0.541921
ENSDARG00000000542	11.921	9.44006	9.93655	3.36006	3.8349	5.5372	5.91441	2.62369	1.63967
ENSDARG00000000567	2.76974	1.86247	1.06595	0.664943	0.522058	0.324629	0.874968	0.4553	0.458927
ENSDARG00000000568	9.41767	11.9464	11.2301	3.24247	4.73564	4.89456	7.8017	4.84895	3.07423
ENSDARG00000000588	1.75278	0.762372	0.547515	0.892789	0.779223	0.659471	1.5202	0.667418	0.447392
ENSDARG00000000631	4.62521	6.86393	6.85144	3.13741	2.57059	4.03925	7.32823	5.0701	1.90699
ENSDARG00000000729	12.1244	16.4789	13.2427	4.57568	5.93387	7.99244	14.0303	8.96391	3.22583
ENSDARG00000000730	1.50513	1.10448	2.46914	0.891954	1.58949	1.53715	1.84915	1.2898	0.840352
ENSDARG00000000779	1.20261	0.511946	0.36579	0.296634	0.488752	0.692123	1.03459	0.52385	0.336518
ENSDARG00000000796	1.01726	1.23819	0.786128	0.515543	0.343142	0.451708	0.797163	0.182956	0.359556
ENSDARG00000000830	0.927387	1.03289	1.49789	0.384059	0.54913	0.329543	1.05675	0.70355	0.338758
ENSDARG00000000837	0.856761	1.47995	1.66083	1.28726	1.20599	1.21009	1.95868	1.31769	0.990169
ENSDARG00000000853	10.846	14.8028	10.8185	1.50708	1.91402	2.13236	6.81505	3.80348	4.13132
ENSDARG00000000857	9.62284	11.6165	7.74378	5.14587	5.2814	7.37971	4.90325	3.47351	2.57649
ENSDARG00000000861	8.42648	11.7482	10.1482	6.7499	9.14475	10.0734	15.2489	10.0888	6.17583
ENSDARG00000000887	33.1459	45.276	36.078	9.95512	11.5356	14.6734	11.3384	5.84693	2.22988
ENSDARG00000000935	3.24913	3.44746	3.25065	1.73157	2.72826	1.99469	15.5419	5.85477	5.65051
ENSDARG00000000943	0.911096	0.186764	0.247697	0.255461	0.0669442	0	0.0635937	0.0835823	0.0282546
ENSDARG00000000966	5.43908	6.59015	7.28688	2.52422	4.09848	3.9387	6.4368	7.80298	4.75467
ENSDARG00000000972	4.67364	5.63898	4.39849	3.13849	3.21912	3.55752	5.19375	3.37597	3.01188
ENSDARG00000001014	5.69011	7.108	5.52278	2.29497	2.86806	2.71346	4.21671	2.89832	2.06466
ENSDARG00000001057	3.75832	1.61953	1.33731	0.698699	0.427833	0.804447	0.532333	1.23065	1.08755
ENSDARG00000001129	8.8901	9.46493	7.21949	4.15453	4.73749	4.77118	9.45783	6.12235	3.66004
ENSDARG00000001162	8.85887	10.2291	8.57221	4.64888	5.08869	6.22594	12.6868	8.47955	4.15943
ENSDARG00000001169	10.9876	4.06082	1.01804	5.5487	2.04197	0.625497	0.770379	0.189175	0.0864961
ENSDARG00000001210	10.381	10.2344	13.7263	3.6326	3.06578	3.34627	3.33617	1.53403	0.857523
ENSDARG00000001220	2.89787	3.67821	2.94115	1.47233	2.11707	2.15438	2.21727	1.64611	1.15648
ENSDARG00000001241	11.3615	13.8263	11.6532	4.18361	3.45136	5.31862	5.74678	3.06247	2.72959
ENSDARG00000001244	112.832	127.325	88.7803	54.8024	54.7847	52.193	109.454	49.1813	32.5194
ENSDARG00000001285	5.23453	6.15243	5.5345	2.49312	2.7614	2.5086	4.56882	3.00479	1.31902
ENSDARG00000001313	2.73673	2.36661	1.78527	1.89948	1.84046	1.71112	2.63035	1.64758	0.718187
ENSDARG00000001447	5.43074	5.91783	5.99455	3.68434	3.2623	4.1134	6.01854	3.47602	2.27767
ENSDARG00000001452	1.9445	1.73003	1.04045	0.36784	0.706449	0.716735	1.06528	0.49509	0.126008
ENSDARG00000001498	0.285546	0.58544	0.775026	0.0480053	0.0367918	0.0806396	0.1273	3.93986e-11	2.48222e-11
ENSDARG00000001549	9.06336	7.60008	6.71952	1.19553	1.07656	2.049	2.46012	1.5252	1.21805
ENSDARG00000001557	2.01365	1.23569	1.16878	0.901279	0.661866	0.537277	1.55606	0.647824	0.290799
ENSDARG00000001558	3.43593	3.09889	4.05519	2.18424	2.39291	2.98478	5.65333	3.30616	1.03911
ENSDARG00000001578	1.89103	1.4269	1.10956	0.575571	0.391123	0.567867	0.377258	0.188838	0.220567
ENSDARG00000001621	2.65371	2.25298	1.98322	0.735258	0.728362	1.42991	1.77561	0.833943	0.764078
ENSDARG00000001637	0.577372	0.532399	0.314346	0.511924	0.585594	0.924466	1.52354	1.02684	1.22028
ENSDARG00000001676	1.23019	1.69252	0.697726	1.3598	1.52948	1.3831	3.01107	1.47757	0.612065
ENSDARG00000001729	2.58508	2.89757	3.13285	1.78057	2.05319	2.29424	3.15069	1.74135	1.24547
ENSDARG00000001734	1.2089	1.74372	2.25584	0.658322	0.51258	0.72733	0.786499	0.203664	0.0918931
ENSDARG00000001754	2.09177	2.72938	3.02537	1.50275	1.68039	1.82197	3.69965	1.71987	0.549882
ENSDARG00000001767	0.843746	0.955785	1.33559	0.887335	0.744691	0.894358	2.9064	1.23045	0.928417
ENSDARG00000001769	4.15722	5.9386	6.10074	2.03953	2.71062	3.19304	9.37533	6.43128	4.52844
ENSDARG00000001777	2.89709	3.0305	2.04226	1.3755	1.46092	1.97283	4.7571	4.87862	2.66866
ENSDARG00000001829	8.75644	4.49594	8.6674	3.13136	2.61307	2.83165	3.31552	1.78314	1.66404
ENSDARG00000001857	10.8105	12.8707	12.1398	4.73045	5.78752	5.54217	16.488	10.7986	8.3818
ENSDARG00000001873	1.49522	2.35256	3.78748	1.53698	1.47904	2.33769	2.02585	0.946281	0.521817
ENSDARG00000001879	2.64146	3.24595	2.77908	0.837866	0.835895	0.907421	2.98826	1.98293	0.959884
ENSDARG00000001880	1.92429	1.91372	1.41871	0.447129	0.57318	0.345753	1.71818	0.838877	0.489284
ENSDARG00000001888	4.69161	7.97169	4.56491	2.59795	1.63642	2.08798	4.05114	1.52574	1.18645
ENSDARG00000001890	8.3357	8.9872	9.88308	4.85725	5.73906	7.66039	11.3422	7.06601	3.81626
ENSDARG00000001897	1.95	2.76633	2.04572	0.533225	1.30255	1.31979	1.99802	1.03607	0.378638
ENSDARG00000001915	31.5317	70.3077	40.7083	6.14008	9.47818	8.7809	12.6548	11.7859	14.4821
ENSDARG00000001929	1.70332	1.5993	0.933455	0.836276	0.987037	1.14998	1.85621	1.03151	1.27449
ENSDARG00000001930	0.840914	1.06113	1.79972	0.558057	0.75202	0.873022	1.39536	1.13004	0.586583
ENSDARG00000001940	23.1217	24.1024	16.0592	5.53254	4.87381	6.04288	4.96844	2.35307	1.21377
ENSDARG00000001968	2.07332	2.47968	1.97966	1.02554	1.14957	1.34995	3.02436	1.15292	0.889556
ENSDARG00000001969	4.60821	8.95673	7.87495	3.81549	3.89171	4.21091	7.80532	4.82337	4.48247
ENSDARG00000002013	5.56177	6.42885	5.26201	3.02779	3.94079	3.36748	11.3907	5.50636	4.08717
ENSDARG00000002016	2.77851	3.97144	3.09502	2.29535	2.63094	3.86485	5.1004	1.46259	1.01091
ENSDARG00000002020	1.672	2.47376	2.1013	0.964269	1.17233	1.19057	2.26271	1.4325	0.764601
ENSDARG00000002021	1.72963	1.44196	1.85971	0.831701	1.34593	1.57474	1.33597	0.8739	0.818297
ENSDARG00000002031	2.65571	3.20385	2.43717	1.72789	2.77895	3.13696	6.7368	3.70097	2.06802
ENSDARG00000002077	3.16734	2.29749	4.00594	0.879066	0.996129	1.53633	1.2666	0.964212	0.138863
ENSDARG00000002082	22.8611	27.0331	25.0108	7.33241	8.555	11.7749	18.9747	9.88435	4.18794
ENSDARG00000002127	8.2955	12.004	10.5551	3.97379	3.01772	5.61986	10.4491	5.42611	3.69367
ENSDARG00000002128	3.02526	2.42916	3.40682	1.93484	0.988415	1.99967	1.42313	0.685047	0.316124
ENSDARG00000002131	0.352727	0.39303	0.332011	0.153102	0.1693	0.561245	0.640531	0.463319	0.0822547
ENSDARG00000002168	15.3058	16.498	17.4111	7.44074	5.50412	7.74821	4.52602	2.94914	1.07671
ENSDARG00000002174	1.03315	1.52915	1.4195	0.712789	1.45705	0.734497	1.54393	0.613467	0.316456
ENSDARG00000002184	2.8969	4.57773	3.23299	1.05836	1.66344	1.69904	1.9786	1.82491	1.55468
ENSDARG00000002190	2.7546	2.7124	2.5664	1.63665	1.64065	2.00107	3.78147	1.82445	0.597654
ENSDARG00000002197	2.30638	2.55217	2.6156	2.04205	2.15248	2.66001	3.01774	1.75816	0.682278
ENSDARG00000002213	0.659162	0.443367	0.554952	0.324757	0.461206	0.256116	0.715056	0.367927	0.356953
ENSDARG00000002215	4.86308	7.51531	7.42826	2.67845	2.26448	3.51997	4.91515	3.70071	1.88351
ENSDARG00000002220	8.74219	8.99923	6.84714	1.59895	3.06597	3.21668	4.19969	2.55937	0.465985
ENSDARG00000002231	0.347099	0.843631	0	0.144403	0.930185	0.133655	2.68808	0.552855	1.28111
ENSDARG00000002267	6.2292	3.88254	3.8759	2.16049	1.52595	2.81276	4.75148	3.06079	1.24398
ENSDARG00000002271	133.657	97.9114	75.6721	77.8121	68.9781	70.0029	66.7569	37.4107	26.6192
ENSDARG00000002285	2.13011	1.93157	2.7803	1.50537	1.62262	1.76895	2.63668	1.29513	0.987501
ENSDARG00000002303	4.25197	5.20928	4.15766	0.983087	1.10607	1.00972	1.28628	0.809722	0.63816
ENSDARG00000002304	2.55763	1.5888	2.24872	0.906774	0.988084	1.27121	5.66431	2.51526	0.577809
ENSDARG00000002305	5.05474	6.54299	4.8053	1.98694	2.53058	2.99521	6.00441	3.13354	1.03198
ENSDARG00000002330	1.78142	1.6129	2.10511	0.995825	1.66738	1.48029	4.22421	2.79191	0.379304
ENSDARG00000002332	4.87152	5.39493	4.73827	2.57566	2.70988	2.73545	4.44538	2.97295	1.93586
ENSDARG00000002336	1.84092	0.396147	0	0.571686	0.0307771	0	0.0300601	0	0
ENSDARG00000002339	1.30811	1.64965	2.60249	0.395946	0.969806	1.48418	2.43811	0.839398	0.303306
ENSDARG00000002344	112.118	85.3934	59.0046	33.6341	31.9887	30.092	45.694	24.1977	19.5458
ENSDARG00000002347	2.31373	3.30958	4.17808	1.72971	1.96488	2.77726	4.95954	2.79651	1.0269
ENSDARG00000002353	5.71187	0.883514	0	2.7105	0.419328	0	0	0.0404425	0.038015
ENSDARG00000002362	0.529599	0.721995	0.432777	0.173155	0.438114	0.468256	1.37297	0.453127	0.238032
ENSDARG00000002365	1.56969	2.39234	2.7134	0.881866	1.30162	1.50879	1.91424	0.714671	0.442243
ENSDARG00000002369	13.8971	12.4984	11.1264	6.9683	4.27538	6.25026	14.3866	7.33289	2.8435
ENSDARG00000002377	6.10877	7.76403	8.22846	4.01895	3.42984	3.29047	5.52273	2.78232	2.70698
ENSDARG00000002385	0.92787	1.83113	0.984455	0.575846	0.978919	0.945804	1.06575	0.497188	0.440549
ENSDARG00000002396	5.54734	7.40777	7.47767	3.00124	3.30658	4.17641	4.13074	1.86312	0.947467
ENSDARG00000002400	66.2497	91.644	80.4149	34.5719	35.7165	46.8003	89.0739	49.1265	26.8182
ENSDARG00000002401	1.64144	2.88307	0.638335	0.71826	0.888817	0.986502	2.03128	0.564833	0.261866
ENSDARG00000002402	0.837549	0.460119	0.45372	0.274163	0.493442	0.797638	0.397557	0.288433	0.220465
ENSDARG00000002403	6.19394	6.35219	6.43196	3.37317	3.42723	4.7874	8.07715	4.69418	2.45047
ENSDARG00000002412	2.85107	2.11188	2.20128	1.20372	1.60474	1.99176	2.78153	1.10178	0.561657
ENSDARG00000002414	3.73338	4.70041	3.60305	2.08719	2.65867	4.88989	3.83437	2.05262	1.05
ENSDARG00000002463	3.43066	2.06087	3.40791	1.08293	1.81404	2.22292	3.71221	2.38529	1.59389
ENSDARG00000002467	1.80233	4.20043	3.425	0.451948	0.492818	0.737495	0.896956	0.368531	0.11371
ENSDARG00000002479	5.99228	6.48941	4.33307	1.96918	2.29071	2.02945	1.9908	0.894711	0.503584
ENSDARG00000002494	1.15497	2.55235	1.54943	1.23598	0.781961	1.18765	1.46418	0.929417	0.933076
ENSDARG00000002506	3.68478	3.83266	4.0746	0.964612	1.18274	3.101	3.20005	2.10969	1.35446
ENSDARG00000002509	1.70976	0.817217	0.0738315	0.443513	0	0.0703779	0.187825	0.266927	0.144926
ENSDARG00000002523	2.02272	2.35538	2.40348	0.573358	0.977057	1.3329	1.74822	0.648039	0.663976
ENSDARG00000002536	13.7327	14.3657	10.4782	3.68769	4.48146	5.74256	4.91092	1.72574	1.29667
ENSDARG00000002538	6.62655	8.11034	5.82146	2.12594	2.06977	4.00473	3.22849	1.57971	0.537452
ENSDARG00000002546	0.735418	0.701007	0.779833	0.516649	0.364699	0.576553	0.875137	0.556225	0.128422
ENSDARG00000002552	12.957	12.8365	11.9241	4.13271	4.41077	5.56479	7.60629	3.04162	2.04943
ENSDARG00000002571	2.51198	2.8511	1.78062	1.23434	1.56039	1.2056	3.08232	0.985199	1.98121
ENSDARG00000002591	8.58521	10.0685	7.81094	4.77299	4.44171	4.19771	7.07959	4.11226	2.36068
ENSDARG00000002597	3.23826	4.10213	2.50577	1.98796	2.23509	2.6512	5.60343	2.60111	1.1676
ENSDARG00000002601	240.018	92.937	4.1764	109.359	33.1981	1.8692	0.285022	0.113624	0.303917
ENSDARG00000002609	0.301292	0.261415	0.635588	0.0404406	0.157141	0.139167	0.259706	0.191444	0.328062
ENSDARG00000002613	8.26527	6.14719	6.2004	3.36908	2.58207	3.92742	2.80629	1.36334	0.126462
ENSDARG00000002614	7.5395	4.44087	3.50421	3.09619	1.85773	2.39584	4.22238	2.26566	1.61816
ENSDARG00000002642	2.39574	3.18212	2.23648	0.938864	1.03013	1.2757	0.675931	0.751422	0.500376
ENSDARG00000002659	7.92345	8.29249	7.83287	4.07869	5.94781	7.27977	13.6153	7.33649	5.18018
ENSDARG00000002670	1.73235	2.26176	2.27563	0.395093	0.967963	0.924428	1.98235	1.74696	0.604667
ENSDARG00000002685	1.67621	1.31786	2.17268	1.3559	0.88701	1.64002	2.25613	0.593995	0.498448
ENSDARG00000002702	0.51289	2.25076	1.16658	0.626501	0.55912	0.902079	1.32661	0.803145	0.0675031
ENSDARG00000002707	201.245	71.1956	1.71778	46.4696	11.8492	0.459926	0.455251	0.297957	0.80321
ENSDARG00000002710	80.503	72.0657	64.5472	39.336	33.2968	32.7183	41.4277	25.9112	15.9482
ENSDARG00000002720	1.77729	1.64258	2.70495	1.24298	1.76419	1.64063	2.49039	0.987344	0.118479
ENSDARG00000002731	2.31945	1.46927	0.804617	2.40089	0.567925	1.36058	2.85798	1.14344	0.845089
ENSDARG00000002745	13.3447	9.63407	7.99963	2.37562	2.96986	3.79799	4.96086	3.33505	1.35696
ENSDARG00000002748	6.73208	6.70698	3.50598	1.76726	1.76336	1.63159	4.4841	3.44704	2.24166
ENSDARG00000002750	4.52147	6.13607	3.64513	1.99155	1.34477	1.75398	3.76881	1.32844	1.07619
ENSDARG00000002758	2.21086	1.28303	1.49778	1.20023	1.1513	1.36454	3.40222	1.0643	0.733322
ENSDARG00000002787	13.4965	17.7642	18.1359	4.38645	5.25329	6.21898	12.4388	8.50204	4.49392
ENSDARG00000002791	11.4539	25.2249	13.8094	7.14691	17.96	17.2796	16.1534	14.0269	4.05632
ENSDARG00000002792	13.9258	22.7147	15.9485	4.29079	4.90622	5.79435	6.70016	2.18166	1.89104
ENSDARG00000002798	0.806477	1.26074	1.07435	0.294125	0.992862	0.557861	0.994135	0.357597	0.240017
ENSDARG00000002826	1.75	2.21825	2.44575	1.03628	0.866419	1.33597	2.20312	1.79745	0.84363
ENSDARG00000002830	1.82884	3.22778	2.27281	0.895641	0.948785	1.22909	1.93135	1.11784	0.453569
ENSDARG00000002840	0.381572	0.292628	0.213975	0.126133	0.0558625	0.196225	0.320636	0.0968598	0.0130146
ENSDARG00000002847	0.398412	0.714554	0.2415	0.161982	0.251372	0.457766	1.03829	0.626809	0.254713
ENSDARG00000002877	8.49992	8.53904	6.66866	4.54328	4.46991	4.49604	10.4183	7.1572	4.33603
ENSDARG00000002880	0.943918	0.773739	1.01754	0.4328	0.647425	0.827496	1.28295	1.12966	0.588204
ENSDARG00000002894	6.50068	3.96217	4.95414	1.41742	2.01888	2.93511	3.6634	2.02138	2.22736
ENSDARG00000002909	9.92941	15.7728	10.7689	8.10205	8.07769	7.20023	21.387	11.4785	6.95392
ENSDARG00000002912	2.14426	4.59858	3.76938	1.30036	1.88661	2.08343	3.93596	2.36823	2.8436
ENSDARG00000002916	3.25701	3.86085	3.24404	1.38633	1.87719	2.00697	4.55494	2.42246	1.74141
ENSDARG00000002949	5.17123	4.8447	4.82482	3.24484	3.23875	3.43998	3.05019	1.98141	0.748623
ENSDARG00000002967	2.4312	3.33105	1.58631	0.577397	0.23961	0.894058	1.72311	0.662051	0.106844
ENSDARG00000002970	7.25015	9.75082	7.93062	2.09133	2.81754	2.97062	4.16052	2.82867	1.96137
ENSDARG00000002971	8.28047	9.01222	6.46266	2.43019	2.76777	3.23483	6.56092	3.29279	2.17494
ENSDARG00000002980	1.33872	2.20552	1.83613	0.752767	0.742082	1.06674	2.51391	2.08447	1.68546
ENSDARG00000002991	2.42109	3.20723	2.31133	0.963563	0.694357	1.5372	1.60499	0.826829	0.446411
ENSDARG00000002994	4.45564	4.15654	4.42921	2.15758	1.47135	2.31453	3.84148	1.44425	1.0943
ENSDARG00000003008	0.779201	1.50076	1.35052	0.421694	0.456217	0.797095	0.782407	0.451618	0.360359
ENSDARG00000003016	34.0384	44.7305	33.7224	10.1993	13.5764	13.4901	32.6081	28.1511	19.34
ENSDARG00000003017	11.4403	8.13757	8.51899	5.58471	3.08985	6.9883	5.97322	2.98603	0.597137
ENSDARG00000003021	2.83582	3.80708	2.87793	1.41499	1.62515	1.96158	1.13179	0.819893	0.740379
ENSDARG00000003027	2.51408	5.36057	4.75037	1.60048	2.56642	2.08955	2.14336	0.655752	0.459505
ENSDARG00000003032	2.41043	3.52991	2.73519	1.35693	0.943281	1.39824	1.99215	1.38984	0.842508
ENSDARG00000003035	12.1917	15.4862	13.6835	4.79813	5.59974	7.74266	7.95408	3.7294	2.01487
ENSDARG00000003051	6.9733	5.30352	6.7481	1.87557	1.55008	2.1633	2.28202	0.435683	0.622374
ENSDARG00000003061	1.24229	1.34243	3.61418	0.377525	0.70842	0.425956	1.53614	0.518142	0.650658
ENSDARG00000003068	2.47234	1.57828	1.99497	1.00073	1.13675	0.877117	1.3953	0.827014	0.495426
ENSDARG00000003069	3.38889	3.86776	3.86566	1.65612	2.27574	2.27305	4.0609	2.88842	2.81355
ENSDARG00000003087	1.41809	1.01922	0.255484	0.399509	0.216677	0.434457	0.569606	0	0.196956
ENSDARG00000003091	4.35302	4.27394	5.12742	2.51413	1.93504	2.7148	4.31713	1.86336	2.30111
ENSDARG00000003098	5.83338	9.96536	4.12952	2.14484	2.08782	2.72542	2.59064	2.43355	1.94144
ENSDARG00000003102	0.354063	0.0295171	0.0271534	0.0838477	0.0207936	0.0197087	0.0217128	0	0
ENSDARG00000003109	0.955486	1.01306	0.582639	0.452993	0.409303	0.252876	0.501002	0.271893	0.0798912
ENSDARG00000003127	6.69647	7.13377	5.95208	1.94186	2.33008	3.21619	6.44089	4.41141	2.13417
ENSDARG00000003146	0.4966	0.050138	0	0.144301	0.113914	0	0	0	0
ENSDARG00000003151	36.3304	43.1734	43.6761	8.98126	10.2998	10.3799	11.882	4.81882	2.58855
ENSDARG00000003153	3.33052	2.33717	2.9727	3.20275	2.94812	5.32028	1.52353	0.460212	0.297251
ENSDARG00000003169	6.62424	10.8166	8.13999	3.50272	5.33153	4.92887	8.36758	4.80685	2.90509
ENSDARG00000003189	4.75282	8.27158	5.29944	1.63477	3.58781	3.06846	5.58169	2.74875	2.25776
ENSDARG00000003197	2.48218	2.37326	3.77539	1.57023	2.23149	2.025	3.79632	1.40315	0.817729
ENSDARG00000003200	11.4717	12.3192	10.6525	3.52081	4.02695	3.8281	10.6281	7.17111	4.53317
ENSDARG00000003205	0.793494	0.702888	1.00529	0.258238	0.24615	0.356029	0.58716	0.159807	0.180397
ENSDARG00000003207	0.380988	0.441917	0.555686	0.576355	0.698971	0.30835	1.39171	0.611305	0.223889
ENSDARG00000003213	14.5184	21.8487	18.7866	9.64556	10.9138	13.9297	24.8327	10.5486	7.71432
ENSDARG00000003217	4.48774	2.73498	2.50934	0.969128	1.79443	1.10219	1.73719	1.08073	0.335575
ENSDARG00000003229	3.05034	4.79788	5.31796	0.478078	1.01189	1.83611	2.35894	1.34678	0.563584
ENSDARG00000003235	1.66015	1.58414	1.00397	1.12304	1.54335	1.04343	2.13128	1.05631	0.828881
ENSDARG00000003244	2.80602	3.66947	2.89448	1.20677	1.51592	1.38977	1.33132	0.662684	0.696709
ENSDARG00000003250	1.64284	1.70493	1.54998	0.992133	0.928766	1.05362	1.82551	0.545736	0.139489
ENSDARG00000003251	1.10144	1.04655	0.759989	0.372841	0.369927	0.549288	0.523685	0.242338	0.427112
ENSDARG00000003269	2.53105	3.19683	3.66163	1.73148	1.7902	2.40747	5.47081	3.15215	2.46201
ENSDARG00000003287	3.23448	4.42841	5.85309	1.61602	2.12942	2.34912	2.78093	2.0932	1.28764
ENSDARG00000003308	5.42027	7.22419	7.66757	2.14759	1.83003	1.7578	2.36359	1.39489	1.09037
ENSDARG00000003320	2.72987	3.9269	3.08004	0.897078	1.70866	1.43146	4.51969	2.88306	1.4208
ENSDARG00000003323	0.510128	0.214059	0.552498	0.349877	0.218934	0.373194	0.778884	0.560013	0.502657
ENSDARG00000003328	1.69842	1.79908	1.80192	0.886806	1.71279	1.681	4.06686	1.90664	0.977244
ENSDARG00000003381	0.296483	0.306339	0.371957	0.157102	0.18428	0.223271	0.799072	0.188156	0.172144
ENSDARG00000003382	2.99723	3.9732	2.34101	1.59056	2.18651	2.6334	3.90281	1.60503	1.20017
ENSDARG00000003383	4.60065	6.16122	5.53086	1.6047	2.77628	2.46058	3.75246	3.48697	1.24659
ENSDARG00000003384	4.97296	5.12602	4.10474	2.81531	3.11279	3.22708	6.88109	3.26442	1.69697
ENSDARG00000003391	0.974921	1.79581	0.988431	0.755265	0.586941	0.55109	1.80739	0.841773	0.513199
ENSDARG00000003395	0.343245	0.417458	0.320148	0.0469865	0.0545822	0.123563	0.0121538	0.0324034	0.0585496
ENSDARG00000003398	5.11603	4.82987	4.26446	1.95659	2.23871	2.96242	3.3838	1.73701	1.42009
ENSDARG00000003429	29.6589	28.5521	22.9191	7.55697	8.82952	10.1026	6.37934	4.6252	1.11667
ENSDARG00000003446	7.02029	7.78355	8.22054	3.7032	5.16451	5.50142	7.81035	4.50032	2.81438
ENSDARG00000003462	3.0569	1.40633	0.716061	1.22506	0.610057	0.512257	1.60611	0.913006	0.51731
ENSDARG00000003470	58.4815	49.4002	28.9784	9.70149	9.03349	14.1136	28.8223	10.8233	7.76754
ENSDARG00000003486	12.7691	13.2521	11.1753	4.59699	5.282	5.87587	11.5345	5.14626	2.43468
ENSDARG00000003487	0.892242	0.544562	0.204606	0.575657	0.49851	0.577827	1.03322	1.03349	0.449641
ENSDARG00000003495	6.35831	10.001	5.67925	2.42556	3.02062	3.13421	5.31907	3.20365	1.62491
ENSDARG00000003512	0.448052	0.404442	0.342863	0.17828	0.17692	0.349699	0.453926	0.243404	0.114733
ENSDARG00000003513	10.6483	12.0948	7.6938	4.22907	3.68796	2.89099	5.36936	3.83212	2.7916
ENSDARG00000003519	0.796609	1.37513	0.537602	0.500651	0.389785	0.283898	0.411267	0.107272	0.0963761
ENSDARG00000003520	2.79418	4.69016	3.80278	1.59758	2.64232	4.02602	7.63399	3.75621	2.39611
ENSDARG00000003526	2.49661	1.28765	2.67308	0.991348	0.49958	1.51683	1.42937	0.665643	0.464982
ENSDARG00000003527	3.01734	2.3591	1.42216	1.18593	1.59766	1.2035	1.17906	0.558349	0.130385
ENSDARG00000003531	4.6302	4.64093	3.11587	2.68095	1.7888	3.09564	2.60968	2.32485	1.16238
ENSDARG00000003544	1.67543	2.2586	2.01408	1.67289	1.57164	2.57777	3.39713	2.09786	1.15607
ENSDARG00000003564	2.29505	1.19964	1.5723	1.43778	1.23571	0.937249	1.69593	0.962497	0.280457
ENSDARG00000003570	40.1276	42.1861	42.0764	25.1453	20.911	31.254	30.7394	19.2183	9.6087
ENSDARG00000003582	3.4033	2.58997	1.64714	0.853547	0.822933	0.826653	0.405834	0.26907	0.282626
ENSDARG00000003584	8.37539	9.34886	9.67904	0.907698	1.43156	2.33534	1.68214	0.465314	0.360692
ENSDARG00000003599	6.72213	5.4793	5.63712	4.1184	4.48658	4.41224	6.79456	2.49029	1.66083
ENSDARG00000003607	5.03285	3.43959	3.56141	2.56993	3.74335	4.3564	6.59242	5.1803	2.06057
ENSDARG00000003616	3.45072	4.0136	4.02664	1.44466	1.69306	1.59405	3.70504	1.20217	0.911999
ENSDARG00000003631	13.9275	11.3946	11.1072	5.77086	6.20984	8.95762	14.1227	6.83073	5.36139
ENSDARG00000003641	39.846	55.9635	35.0265	31.2098	46.4675	48.6807	54.2012	36.9459	26.7336
ENSDARG00000003655	1.24131	1.50506	2.04016	0.200937	0.388674	1.37661	1.6221	0.686432	0.999653
ENSDARG00000003681	13.2385	4.03282	3.31802	3.49234	2.96801	2.82254	2.12496	1.07082	0.397592
